City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
599,Panaba,MX,75.88,overcast clouds,21.2833,-88.2667,Hotel Don Fernando
600,Salalah,OM,75.29,light intensity drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
605,Shahrud,IR,77.63,clear sky,36.4182,54.9763,Royal Hotel
606,Honiara,SB,83.34,scattered clouds,-9.4333,159.95,Heritage Park Hotel
607,Bajil,YE,87.69,overcast clouds,15.0584,43.2851,فندق حضرموت
608,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
610,Cayenne,GF,78.84,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
612,Altea,ES,77.63,scattered clouds,38.5989,-0.0514,Albir Playa Hotel & Spa
613,Sirjan,IR,79.61,clear sky,29.452,55.6814,MAPNA Building
614,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
624,Shahr-E Babak,IR,76.77,clear sky,30.1165,55.1186,سلاطین مس و نقره
625,Yulara,AU,80.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
627,San Patricio,US,85.89,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
628,Arlit,NE,87.8,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
629,Roebourne,AU,82.69,scattered clouds,-20.7833,117.1333,Latitude20 Roebourne Village
630,Lisa,RO,75.24,clear sky,43.8,25.1333,scarlat cottages
632,Banepa,NP,80.92,scattered clouds,27.6298,85.5214,Dhulikhel Lodge Resort
640,Ryotsu,JP,78.64,broken clouds,38.0833,138.4333,Sadokamoko Onsen Kohanno Yado Yoshidaya
641,Brokopondo,SR,75.45,broken clouds,4.75,-55.1667,Matu Island
642,Mecca,SA,86.29,few clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
643,Osmaniye,TR,79.27,clear sky,37.0742,36.2478,Osmaniye Olcay Apart
645,Turbat,PK,86.86,overcast clouds,26.0023,63.044,Mubashar Quarters
647,Pringsewu,ID,82.35,broken clouds,-5.3582,104.9744,Urban Style by Front One
648,Hirara,JP,89.87,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
650,Djibo,BF,77.25,overcast clouds,14.1022,-1.6306,Centre Des Ressources DPENA
651,Bubaque,GW,78.53,moderate rain,11.2833,-15.8333,"Casa Dora, Bubaque"
653,Weatherford,US,76.46,broken clouds,32.7593,-97.7972,Woodland Suites
654,Madras,IN,89.58,few clouds,13.0878,80.2785,"Taj Connemara, Chennai"
655,Amravati,IN,82.2,clear sky,20.9333,77.75,Hotel Indrapuri
